n_cut,k_cut,sigma,energy,madelung,time,memory
5,13,3.0204081632653065e-11,-5.718822817456092e-18,-1.7475659117805589,12.835853815078735,0.3203125
5,14,3.0204081632653065e-11,-5.718822817455925e-18,-1.747565911780508,16.088615655899048,0.40234375
5,15,3.0204081632653065e-11,-5.718818597396955e-18,-1.7475646222089585,19.379433393478394,0.26953125
5,16,3.0204081632653065e-11,-5.718818597397214e-18,-1.7475646222090375,22.76152539253235,0.56640625
5,17,3.0204081632653065e-11,-5.71881850839083e-18,-1.7475645950103416,27.765382289886475,0.62109375
5,18,3.0204081632653065e-11,-5.718818508390985e-18,-1.747564595010389,32.43862056732178,1.84765625
5,19,3.0204081632653065e-11,-5.718818507168921e-18,-1.747564594636949,36.630075454711914,2.49609375
5,20,3.0204081632653065e-11,-5.7188185071692605e-18,-1.7475645946370526,43.09622502326965,3.51953125
5,21,3.0204081632653065e-11,-5.71881850715854e-18,-1.7475645946337768,51.04490876197815,5.47265625
5,22,3.0204081632653065e-11,-5.718818507158714e-18,-1.7475645946338298,57.35023903846741,6.26953125
5,23,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,64.4403007030487,7.7890625
5,24,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,73.03523445129395,9.1484375
6,5,3.0204081632653065e-11,-6.091888662620392e-18,-1.8615678969214002,1.883542537689209,0.0
6,6,3.0204081632653065e-11,-6.091888662620343e-18,-1.8615678969213854,2.6741509437561035,0.0
6,7,3.0204081632653065e-11,-5.758279846905956e-18,-1.7596232462788808,3.0787622928619385,0.0
6,8,3.0204081632653065e-11,-5.758279846905964e-18,-1.7596232462788832,4.035808086395264,0.0
6,9,3.0204081632653065e-11,-5.7216390352648665e-18,-1.7484264955754862,5.355150461196899,0.0
6,10,3.0204081632653065e-11,-5.7216390352650306e-18,-1.7484264955755362,7.158114194869995,0.01953125
6,11,3.0204081632653065e-11,-5.718953851279931e-18,-1.7476059532805566,8.865894556045532,0.28125
6,12,3.0204081632653065e-11,-5.718953851280128e-18,-1.7476059532806167,11.374804973602295,0.26171875
6,13,3.0204081632653065e-11,-5.718822817456092e-18,-1.7475659117805589,13.2573823928833,0.33203125
6,14,3.0204081632653065e-11,-5.718822817455925e-18,-1.747565911780508,16.227153062820435,0.39453125
6,15,3.0204081632653065e-11,-5.718818597396955e-18,-1.7475646222089585,19.581831216812134,0.26953125
6,16,3.0204081632653065e-11,-5.718818597397214e-18,-1.7475646222090375,23.037532329559326,0.56640625
6,17,3.0204081632653065e-11,-5.71881850839083e-18,-1.7475645950103416,27.818410396575928,0.8046875
6,18,3.0204081632653065e-11,-5.718818508390985e-18,-1.747564595010389,30.99250888824463,2.10546875
6,19,3.0204081632653065e-11,-5.718818507168921e-18,-1.747564594636949,36.74076867103577,2.66015625
6,20,3.0204081632653065e-11,-5.7188185071692605e-18,-1.7475645946370526,43.2541241645813,3.6171875
6,21,3.0204081632653065e-11,-5.71881850715854e-18,-1.7475645946337768,52.5597038269043,5.6875
6,22,3.0204081632653065e-11,-5.718818507158714e-18,-1.7475645946338298,56.061455488204956,6.34765625
6,23,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,66.00245475769043,7.703125
6,24,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,72.81019282341003,9.5234375
7,5,3.0204081632653065e-11,-6.091888662620392e-18,-1.8615678969214002,2.9676554203033447,7.91796875
7,6,3.0204081632653065e-11,-6.091888662620343e-18,-1.8615678969213854,3.3171322345733643,0.0
7,7,3.0204081632653065e-11,-5.758279846905956e-18,-1.7596232462788808,3.980178117752075,0.0
7,8,3.0204081632653065e-11,-5.758279846905964e-18,-1.7596232462788832,4.923954963684082,0.0
7,9,3.0204081632653065e-11,-5.7216390352648665e-18,-1.7484264955754862,7.709898233413696,0.0
7,10,3.0204081632653065e-11,-5.7216390352650306e-18,-1.7484264955755362,9.587652921676636,0.0
7,11,3.0204081632653065e-11,-5.718953851279931e-18,-1.7476059532805566,9.698273420333862,0.0
7,12,3.0204081632653065e-11,-5.718953851280128e-18,-1.7476059532806167,11.191722393035889,0.1796875
7,13,3.0204081632653065e-11,-5.718822817456092e-18,-1.7475659117805589,13.703908681869507,0.30859375
7,14,3.0204081632653065e-11,-5.718822817455925e-18,-1.747565911780508,16.329253673553467,0.40625
7,15,3.0204081632653065e-11,-5.718818597396955e-18,-1.7475646222089585,19.47976541519165,0.26953125
7,16,3.0204081632653065e-11,-5.718818597397214e-18,-1.7475646222090375,23.696945667266846,0.5625
7,17,3.0204081632653065e-11,-5.71881850839083e-18,-1.7475645950103416,26.96303963661194,1.0234375
7,18,3.0204081632653065e-11,-5.718818508390985e-18,-1.747564595010389,31.39461922645569,2.109375
7,19,3.0204081632653065e-11,-5.718818507168921e-18,-1.747564594636949,44.93079400062561,2.68359375
7,20,3.0204081632653065e-11,-5.7188185071692605e-18,-1.7475645946370526,42.83690428733826,4.125
7,21,3.0204081632653065e-11,-5.71881850715854e-18,-1.7475645946337768,55.657163858413696,5.62890625
7,22,3.0204081632653065e-11,-5.718818507158714e-18,-1.7475645946338298,58.56304717063904,6.7421875
7,23,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,63.59806776046753,7.84375
